CLAVE DE LA NORMA,TITULO,F. PUBLICACIÓN,TIPO NORMA,PRODUCTO,RAE,CTNN,ONN,DOCUMENTO
NMX-A-001-1965,"NORMA OFICIAL DE CALIDAD PARA MANTA DE MOSTRADOR, D. G .N. A-1-1965. (ESTA NORMA CANCELA LA DGN A-1-1958)                                                                                                                                                                                                                                      ",1966-09-01T00:00:00Z,DEFINITIVA,MANTA,INDUSTRIA TEXTIL,CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1965/nmx-a-001-1965.pdf
NMX-A-002-INNTEX-2012,INDUSTRIA TEXTIL-DETERMINACIÓN DE LA SOLIDEZ DEL COLOR AL LAVADO DOMÉSTICO UTILIZANDO UN DETERGENTE CON DESMANCHADOR ACTIVADO POR OXIGENO-MÉTODO DE PRUEBA ACELERADO (CANCELA A LA NMX-A-002-INNTEX-2002).,2013-04-16T00:00:00Z,DEFINITIVA,SOLIDEZ DEL COLOR,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-003-1976,"""MEZCLILLA"" (ESTA NORMA CANCELA LA DGN-A-3-1965 ).",1976-05-10T00:00:00Z,DEFINITIVA,MEZCLILLA,INDUSTRIA TEXTIL,CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1976/nmx-a-003-1976.pdf
NMX-A-004/1-INNTEX-2009,"INDUSTRIA DEL VESTIDO-BATAS-PARTE 1- SERVICIOS HOSPITALARIOS-ESPECIFICACIONES. CANCELA LA NMX-A-004/1-INNTEX DE 2007
",2009-12-23T00:00:00Z,DEFINITIVA,VESTIDO,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-004/2-INNTEX-2009,"INDUSTRIA DEL VESTIDO-BATAS-PARTE 2- SERVICIOS MÉDICO ADMINISTRATIVO-ESPECIFICACIONES. CANCELA LA NMX-A-004/2-INNTEX DE 2008
",2009-12-23T00:00:00Z,DEFINITIVA,BATAS,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-005-INNTEX-2008,"INDUSTRIA TEXTIL-VESTIDO-ROPA HOSPITALARIA-COMPRESAS DE CAMPO REUSABLES-ESPECIFICACIONES.
",2009-01-07T00:00:00Z,DEFINITIVA,BATAS,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-007-INNTEX-2003,INDUSTRIA TEXTIL-EVALUACION DE LA ACTIVIDAD ANTIBACTERIANA DE MATERIALES TEXTILES-METODO DE ESTRIAS PARALELAS.,2003-08-13T00:00:00Z,DEFINITIVA,MATERIALES TEXTILES,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-009-1982,INDUSTRIA TEXTIL -FRANELA DE ALGODÓN- ESPECIFICACIONES. (ESTA NORMA CANCELA LA NOM-A-9-1965),1982-05-28T00:00:00Z,DEFINITIVA,FRANELA,INDUSTRIA TEXTIL,CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1982/nmx-a-009-1982.pdf
NMX-A-010-INNTEX-2009,INDUSTRIA TEXTIL-TEJIDOS DE CALADA-CABEZA DE INDIO-ESPECIFICACIONES.,2009-05-21T00:00:00Z,DEFINITIVA,TEJIDOS,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-014-INNTEX-2006,INDUSTRIA TEXTIL-DETERMINACION A LA RESISTENCIA A LA PENETRACION DE AGUA POR IMPACTO-METODO DE PRUEBA(CANCELA A LA NMX-A-014-1984),2007-01-30T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-015/1-INNTEX-2011,INDUSTRIA TEXTIL- NO TEJIDOS-BOTAS PARA USO EN QUIROFANOS-PARTE 1-BOTAS DE POLIPROPILENO DE TIPO SMS-ESPECIFICACIONES (CANCELA LA NMX-A-015/1-INNTEX-2008).,2012-06-21T00:00:00Z,DEFINITIVA,NO TEJIDOS,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
