CLAVE DE LA NORMA,TITULO,F. PUBLICACIÓN,F. ENTRADA EN VIGOR,TIPO NORMA,NORMA INTERNACIONAL,PRODUCTO,CONCORDANCIA,RAE,DEPENDENCIA,CCNN,DOCUMENTO
NOM-001-CONAGUA-2011,"SISTEMAS DE AGUA POTABLE, TOMA DOMICILIARIA Y ALCANTARILLADO SANITARIO-HERMETICIDAD-ESPECIFICACIONES Y MÉTODOS DE PRUEBA.",2012-02-17T00:00:00Z,2012-06-16T00:00:00Z,DEFINITIVA,ESTA NORMA OFICIAL MEXICANA NO COINCIDE CON NINGUNA NORMA INTERNACIONAL,AGUA,NO APLICA,AGUA Y SUMINISTRO DE GAS POR DUCTOS,SEMARNAT,CCNN DEL SECTOR AGUA (CONAGUA),http://www.economia-noms.gob.mx/normas/noms/2010/001conagua2012.pdf
NOM-001-ENER-2000,EFICIENCIA ENERGÉTICA DE BOMBAS VERTICALES TIPO TURBINA CON MOTOR EXTERNO ELÉCTRICO VERTICAL. LÍMITES Y MÉTODO DE PRUEBA.,2000-09-01T00:00:00Z,2000-12-30T00:00:00Z,DEFINITIVA,"ISO 3555, CENTRIFUGAL, MIXED FLOW AND AXIAL PUMPS-CODE FOR ACCEPTANCE TESTS-CLASS B.",BOMBAS,PARCIALMENTE,FABRICACIÓN DE MAQUINARIA Y EQUIPO,SECRETARÍA DE ENERGÍA,CCNN PARA LA PRESERVACION Y USO RACIONAL DE LOS RECURSOS ENERGETICOS (ENER),http://www.economia-noms.gob.mx/normas/noms/2000/001ener.pdf
NOM-001-ENER-2014,EFICIENCIA ENERGÉTICA DE BOMBAS VERTICALES TIPO TURBINA CON MOTOR EXTERNO ELÉCTRICO VERTICAL. LÍMITES Y MÉTODO DE PRUEBA.,2014-08-06T00:00:00Z,2014-11-04T00:00:00Z,DEFINITIVA,"NORMA ISO 3555, CENTRIFUGAL, MIXED FLOW AND AXIAL PUMPS-CODE FOR ACCEPTANCE TESTS-CLASS B.",BOMBAS,PARCIALMENTE,FABRICACIÓN DE EQUIPO DE GENERACIÓN ELÉCTRICA Y APARATOS Y ACCESORIOS ELÉCTRICOS,SECRETARÍA DE ENERGÍA,CCNN PARA LA PRESERVACION Y USO RACIONAL DE LOS RECURSOS ENERGETICOS (ENER),http://www.economia-noms.gob.mx/normas/noms/2010/001ener2014.pdf
NOM-001-FITO-2001,POR LA QUE SE ESTABLECE LA CAMPAÑA CONTRA EL CARBÓN PARCIAL DEL TRIGO.,2002-02-08T00:00:00Z,2002-02-09T00:00:00Z,DEFINITIVA,ESTA NORMA NO TIENE CONCORDANCIA CON NINGUNA NORMA INTERNACIONAL.,TRIGO,NO APLICA,AGRICULTURA,SAGARPA,CCNN DE PROTECCION FITOSANITARIA (FITO),http://www.economia-noms.gob.mx/normas/noms/2002/001fito.pdf
NOM-001-NUCL-2013,FACTORES PARA EL CÁLCULO DEL EQUIVALENTE DE DOSIS.,2013-12-06T00:00:00Z,2014-02-05T00:00:00Z,DEFINITIVA,RECOMENDACIONES DE LA COMISIÓN INTERNACIONAL DE PROTECCIÓN RADIOLÓGICA.,PROTECCION AMBIENTAL,PARCIALMENTE,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE ENERGÍA,CCNN DE SEGURIDAD NUCLEAR Y SALVAGUARDIAS (NUCL),http://www.economia-noms.gob.mx/normas/noms/2010/001nucl2013.pdf
NOM-001-PESC-1994,"PARA REGULAR EL APROVECHAMIENTO DE LOS RECURSOS PESQUEROS EN EL EMBALSE DE LA PRESA EL CUCHILLO-SOLIDARIDAD, UBICADA EN EL MUNICIPIO DE CHINA N. L.",1994-10-14T00:00:00Z,1994-10-15T00:00:00Z,DEFINITIVA,NO HAY NORMA EQUVALENTE,PESCADO,NO APLICA,"PESCA, CAZA Y CAPTURA",SAGARPA,CCNN DE NORMALIZACIÓN AGROALIMENTARIA (SAGARPA),http://www.economia-noms.gob.mx/normas/noms/1994/001-pesc94.pdf
NOM-001-SAG/FITO-2013,"POR LA QUE SE ESTABLECEN LOS CRITERIOS, PROCEDIMIENTOS Y ESPECIFICACIONES PARA LA ELABORACIÓN DE GUÍAS PARA LA DESCRIPCIÓN VARIETAL Y REGLAS PARA DETERMINAR LA CALIDAD DE LAS SEMILLAS PARA SIEMBRA.",2014-05-30T00:00:00Z,2014-07-29T00:00:00Z,DEFINITIVA,ESTA NORMA NO COINCIDE CON NORMA INTERNACIONAL ALGUNA,SEMILLAS,NO APLICA,AGRICULTURA,SAGARPA,CCNN DE PROTECCION FITOSANITARIA (FITO),http://www.economia-noms.gob.mx/normas/noms/2010/001sagfito2014.pdf
NOM-001-SAG/PESC-2013,PESCA RESPONSABLE DE TÚNIDOS. ESPECIFICACIONES PARA LAS OPERACIONES DE PESCA CON RED DE CERCO.,2014-01-16T00:00:00Z,2014-03-17T00:00:00Z,DEFINITIVA,RESOLUCIONES DE LA COMISIÓN INTERAMERICANA DEL ATÚN TROPICAL,ATÚN,TOTALMENTE,"PESCA, CAZA Y CAPTURA",SAGARPA,CCNN DE NORMALIZACIÓN AGROALIMENTARIA (SAGARPA),http://www.economia-noms.gob.mx/normas/noms/2010/001sagpesc2014.pdf
NOM-001-SCFI-1993,APARATOS ELECTRÓNICOS DE USO DOMÉSTICO ALIMENTADOS POR DIFERENTES  FUENTES DE ENERGÍA ELÉCTRICA-REQUISITOS DE SEGURIDAD Y MÉTODOS DE  PRUEBA PARA LA APROBACIÓN,1993-10-13T00:00:00Z,1994-01-01T00:00:00Z,DEFINITIVA,IEC-65-1985,ELECTRODOMESTICOS,PARCIALMENTE,FABRICACIÓN DE EQUIPO DE GENERACIÓN ELÉCTRICA Y APARATOS Y ACCESORIOS ELÉCTRICOS,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/1993/001scfi.pdf
NOM-001-SCT-2-2000,"PLACAS METÁLICAS, CALCOMANÍAS DE IDENTIFICACIÓN Y TARJETAS DE CIRCULACIÓN EMPLEADAS EN AUTOMÓVILES, AUTOBUSES, CAMIONES, MIDIBUSES, MOTOCICLETAS Y REMOLQUES MATRICULADOS EN LA REPÚBLICA MEXICANA, LICENCIA FEDERAL DE CONDUCTOR Y CALCOMANÍA DE VERIFICACIÓN FÍSICO-MECÁNICA- ESPECIFICACIONES Y MÉTODOS DE PRUEBA. (EL PROYECTO NO FUE PUBLICADO VIA INTERNET)
(EXISTE UNA MODIFICACIÓN ANTERIOR CON FECHA DE PUBLICACIÓN EN EL D. O. F. DE 01.07.2001)",2001-01-26T00:00:00Z,2001-03-27T00:00:00Z,DEFINITIVA,ESTA NORMA NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL.,SERVICIOS,NO APLICA,SERVICIOS RELACIONADOS CON EL TRANSPORTE,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE TERRESTRE (SCT2),http://www.economia-noms.gob.mx/normas/noms/2001/001sct2.pdf
NOM-001-SCT1-1993,ESPECIFICACIONES Y REQUERIMIENTOS PARA LA INSTALACIÓN DE ESTACIONES DE  RADIODIFUSIÓN SONORA MODULADAS EN AMPLITUD.,1993-11-10T00:00:00Z,1993-11-11T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA ALGUNA.,EQUIPOS Y SISTEMAS DE COMUNICACION,NO APLICA,"RADIO, TELEVISIÓN Y OTRAS TELECOMUNICACIONES",S. COMUNICACIONES Y TRANSPORTES,CCNN DE TELECOMUNICACIONES (SCT1),http://www.economia-noms.gob.mx/normas/noms/1993/01-sct1.pdf
NOM-001-SECRE-2010,"ESPECIFICACIONES DEL GAS NATURAL (CANCELA Y SUSTITUYE A LA NOM-001-SECRE-2003, CALIDAD DEL GAS NATURAL Y LA NOM-EM-002-SECRE-2009, CALIDAD DEL GAS NATURAL DURANTE EL PERIODO DE EMERGENCIA SEVERA).",2010-03-19T00:00:00Z,2010-05-18T00:00:00Z,DEFINITIVA,"ISO-13686-1998. ""NATURAL GAS. QUALITY DESIGNATION""",GAS,PARCIALMENTE,EXTRACCIÓN DE PETRÓLEO Y GAS,SECRETARÍA DE ENERGÍA,CCNN DE GAS NATURAL (SECRE),http://www.economia-noms.gob.mx/normas/noms/2010/001secre2010.pdf
NOM-001-SEDE-2012,INSTALACIONES ELÉCTRICAS (UTILIZACIÓN),2012-11-29T00:00:00Z,2013-05-29T00:00:00Z,DEFINITIVA,PARTE 1 DE LA NORMA INTERNACIONAL IEC 60364,ENERGIA ELECTRICA,TOTALMENTE,GENERACIÓN Y SUMINISTRO DE ENERGÍA ELÉCTRICA,SECRETARÍA DE ENERGÍA,CCNN DE INSTALACIONES ELECTRICAS (SEDE),http://www.economia-noms.gob.mx/normas/noms/2010/001sede2012.pdf
NOM-001-SEDG-1996,PLANTAS DE ALMACENAMIENTO PARA GAS L.P.- DISEÑO Y CONSTRUCCIÓN.,1997-09-12T00:00:00Z,1997-09-13T00:00:00Z,DEFINITIVA,NO CONCUERDA CON NINGUNA NORMA,SERVICIOS,NO APLICA,EXTRACCIÓN DE PETRÓLEO Y GAS,SECRETARÍA DE ENERGÍA,CCNN DE GAS L.P. (SEDG),http://www.economia-noms.gob.mx/normas/noms/1997/001-sedg.pdf
NOM-001-SEMARNAT-1996,QUE ESTABLECE LOS LÍMITES MÁXIMOS PERMISIBLES DE CONTAMINANTES EN LAS  DESCARGAS DE AGUAS RESIDUALES EN AGUAS Y BIENES NACIONALES.,1997-01-06T00:00:00Z,1997-01-07T00:00:00Z,DEFINITIVA,NO HAY NORMAS EQUIVALENTES,PROTECCION AMBIENTAL,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/1997/001-ecol.pdf
NOM-001-SSA1-2010,"QUE INSTITUYE EL PROCEDIMIENTO POR EL CUAL SE REVISARÁ, ACTUALIZARÁ Y EDITARÁ LA FARMACOPEA DE LOS ESTADOS UNIDOS MEXICANOS.",2011-01-26T00:00:00Z,2011-03-27T00:00:00Z,DEFINITIVA,ESTA NORMA NO ES EQUIVALENTE A NINGUNA NORMA INTERNACIONAL,PRODUCCION QUIMICO FARMACEUTICA,NO APLICA,INDUSTRIA QUÍMICA,SECRETARÍA DE SALUD,CCNN DE REGULACION Y FOMENTO SANITARIO (SSA1),http://www.economia-noms.gob.mx/normas/noms/2010/001ssa12011.pdf
NOM-001-SSA3-2012,EDUCACIÓN EN SALUD. PARA LA ORGANIZACIÓN Y FUNCIONAMIENTO DE RESIDENCIAS MÉDICAS.,2013-01-04T00:00:00Z,2013-03-05T00:00:00Z,DEFINITIVA,ESTA NORMA NO TIENE CONCORDANCIA CON NINGUNA NORMA INTERNACIONAL,SERVICIOS MÉDICOS,NO APLICA,SERVICIOS MÉDICOS DE CONSULTA EXTERNA Y SERVICIOS RELACIONADOS,SECRETARÍA DE SALUD,"CCNN DE INNOVACION, DESARROLLO, TECNOLOGIAS E INFORMACION EN SALUD",http://www.economia-noms.gob.mx/normas/noms/2010/001ssa32013.pdf
NOM-001-SSP-2008,"PARA LA DETERMINACIÓN, ASIGNACIÓN E INSTALACIÓN DEL NÚMERO DE IDENTIFICACIÓN VEHICULAR.",2010-01-13T00:00:00Z,2010-03-14T00:00:00Z,DEFINITIVA,"ISO-3779-1983, ISO-3780-1983 E ISO-4030-1983",VEHÍCULOS AUTOMOTORES,TOTALMENTE,SERVICIOS RELACIONADOS CON EL TRANSPORTE,SECRETARÍA DE SEGURIDAD PUBLICA,CCNN SOBRE PROTECCIÓN CIVIL Y PREVENCIÓN DE DESASTRES,http://www.economia-noms.gob.mx/normas/noms/2010/001ssp10.pdf
